time,open,high,low,close,tick_volume,spread,real_volume
2024-01-24 11:15:00,2031.839,2032.385,2031.433,2031.957,779,200,0
2024-01-24 11:30:00,2031.962,2032.88,2031.733,2032.839,864,200,0
2024-01-24 11:45:00,2032.837,2034.231,2032.588,2033.46,1135,199,0
2024-01-24 12:00:00,2033.41,2034.376,2032.302,2032.391,1006,199,0
2024-01-24 12:15:00,2032.438,2033.568,2031.623,2033.135,1172,199,0
2024-01-24 12:30:00,2033.151,2034.256,2032.467,2033.54,1082,200,0
2024-01-24 12:45:00,2033.529,2033.594,2032.212,2032.685,1163,200,0
2024-01-24 13:00:00,2032.637,2035.655,2032.262,2034.149,1417,199,0
2024-01-24 13:15:00,2034.163,2036.155,2031.94,2035.507,2182,199,0
2024-01-24 13:30:00,2035.564,2036.593,2031.257,2032.54,2778,199,0
2024-01-24 13:45:00,2032.571,2035.049,2032.196,2033.985,1722,200,0
2024-01-24 14:00:00,2033.937,2034.676,2031.505,2032.721,1510,199,0
2024-01-24 14:15:00,2032.712,2034.378,2032.386,2032.904,1339,199,0
2024-01-24 14:30:00,2032.94,2033.223,2026.396,2029.568,2747,199,0
2024-01-24 14:45:00,2029.543,2029.543,2023.267,2024.564,4074,199,0
2024-01-24 15:00:00,2024.588,2025.281,2019.07,2023.593,2988,199,0
2024-01-24 15:15:00,2023.612,2024.485,2019.397,2020.124,2347,199,0
2024-01-24 15:30:00,2020.14,2020.459,2015.295,2018.224,2541,199,0
2024-01-24 15:45:00,2018.199,2018.243,2014.826,2015.209,1877,199,0
2024-01-24 16:00:00,2015.247,2016.302,2011.783,2013.641,1895,199,0
2024-01-24 16:15:00,2013.59,2015.459,2013.067,2014.183,1721,199,0
2024-01-24 16:30:00,2014.213,2014.595,2011.947,2012.184,1443,199,0
2024-01-24 16:45:00,2012.214,2015.602,2011.941,2015.291,1478,199,0
2024-01-24 17:00:00,2015.331,2017.594,2015.251,2016.77,1372,199,0
2024-01-24 17:15:00,2016.749,2018.079,2015.752,2017.375,1280,200,0
2024-01-24 17:30:00,2017.375,2018.278,2017.011,2017.668,1172,199,0
2024-01-24 17:45:00,2017.697,2019.783,2017.499,2019.173,1161,199,0
2024-01-24 18:00:00,2019.225,2019.767,2015.56,2015.59,1681,199,0
2024-01-24 18:15:00,2015.644,2016.776,2013.326,2015.166,1605,199,0
2024-01-24 18:30:00,2015.212,2016.045,2013.965,2014.212,1192,199,0
2024-01-24 18:45:00,2014.22,2015.44,2013.716,2015.073,1008,199,0
2024-01-24 19:00:00,2015.069,2015.277,2014.033,2014.563,867,199,0
2024-01-24 19:15:00,2014.575,2014.836,2011.138,2012.589,1193,199,0
2024-01-24 19:30:00,2012.538,2013.228,2011.145,2012.738,1082,200,0
2024-01-24 19:45:00,2012.745,2012.861,2011.773,2012.057,906,199,0
2024-01-24 20:00:00,2012.089,2013.757,2011.784,2012.788,916,199,0
2024-01-24 20:15:00,2012.791,2013.452,2012.345,2012.968,835,200,0
2024-01-24 20:30:00,2012.94,2013.576,2012.34,2012.666,795,200,0
2024-01-24 20:45:00,2012.651,2013.035,2011.783,2012.258,964,199,0
2024-01-24 21:00:00,2012.298,2012.898,2012.048,2012.854,734,200,0
2024-01-24 21:15:00,2012.799,2013.03,2012.295,2012.438,554,199,0
2024-01-24 21:30:00,2012.431,2012.677,2012.153,2012.341,563,200,0
2024-01-24 21:45:00,2012.313,2014.553,2012.135,2014.417,448,200,0
2024-01-24 23:00:00,2014.761,2016.96,2014.589,2016.223,581,599,0
2024-01-24 23:15:00,2016.161,2016.735,2015.512,2016.3,653,599,0
